Date,Close,High,Low,Open,Volume,SMA,EMA,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ATR,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Close_Lag_10
2023-02-17,17944.19922,18034.25,17884.59961,17974.84961,208100,17824.80705928571,17891.222060098487,50.26895567282025,-21.769357054636203,-69.26865487491563,18175.017076285527,17847.8524415,17520.68780671447,194.9458044069068,18035.84961,18015.84961,17929.84961,17856.5,17854.05078
2023-02-20,17844.59961,18004.34961,17818.40039,17965.55078,174600,17837.83914642857,17885.00573341869,46.37536299332046,-24.559587341776933,-60.32684136828789,18155.304195111097,17838.699902499997,17522.095609888896,194.30319123498504,17944.19922,18035.84961,18015.84961,17770.90039,17764.59961
2023-02-21,17826.69922,17924.90039,17800.30078,17905.80078,198200,17852.867606428572,17877.23153162953,45.69040303913496,-27.893735203873803,-53.84022013540507,18113.50671170987,17824.107324499997,17534.707937290124,189.3243640039145,17844.59961,17944.19922,18035.84961,17929.84961,17721.5
2023-02-22,17554.30078,17772.5,17529.44922,17755.34961,204000,17848.86049142857,17834.17409807893,36.78629014551772,-51.91787207356538,-53.45575052303713,18074.870049172943,17795.907324499996,17516.94459982705,197.0333380036349,17826.69922,17844.59961,17944.19922,18015.84961,17871.69922
2023-02-23,17511.25,17620.05078,17455.40039,17574.65039,240800,17824.374721428572,17791.117551668405,35.60531280204013,-73.5827951244828,-57.48115944332626,18078.089946213036,17776.8723635,17475.65478078696,194.72027028908974,17554.30078,17826.69922,17844.59961,18035.84961,17893.44922
2023-02-24,17465.80078,17599.75,17421.80078,17591.34961,209400,17803.03194785714,17747.741982112617,34.351503695924606,-93.34376611737025,-64.65368077813505,18092.34275119558,17769.944922,17447.547092804416,193.52233812558325,17511.25,17554.30078,17826.69922,17944.19922,17856.5
2023-02-27,17392.69922,17451.59961,17299.0,17428.59961,246400,17779.54617785714,17700.402947164268,32.376656464660726,-113.59372520162651,-74.44168966283334,18116.04549169786,17757.132422,17398.219352302138,191.6136554023274,17465.80078,17511.25,17554.30078,17844.59961,17770.90039
2023-02-28,17303.94922,17440.44922,17255.19922,17383.25,420900,17738.992606428572,17647.54245020903,30.113205255069094,-135.24433445337854,-86.60221862094238,18147.641506602544,17739.222363499997,17330.80322039745,191.15910858787544,17392.69922,17465.80078,17511.25,17826.69922,17929.84961
2023-03-01,17450.90039,17467.75,17345.25,17360.09961,272900,17707.381975714285,17621.32350884783,37.85964647426273,-138.94321606710582,-97.07041811017507,18155.377357995378,17730.952343999998,17306.527330004617,189.20494226017016,17303.94922,17392.69922,17465.80078,17554.30078,18015.84961
2023-03-02,17321.90039,17445.80078,17306.0,17421.5,310700,17669.196289285712,17581.400426334785,34.26872132658015,-150.54840005430378,-107.76601449900082,18174.63477189912,17716.527344,17258.419916100876,186.04033138444362,17450.90039,17303.94922,17392.69922,17511.25,18035.84961
