Date,Close,High,Low,Open,Volume
01-04-10,9112.244141,9129.344529,9031.795853,9031.795853,0
01-05-10,9192.043945,9213.893302,9157.243567,9191.143565,0
01-06-10,9222.892578,9265.441887,9183.543427,9243.792725,0
01-07-10,9192.84375,9261.742366,9153.144014,9240.143007,0
01-08-10,9160.59375,9214.242541,9141.343974,9184.943076,0
01-11-10,9173.443359,9247.892691,9160.943504,9209.043532,0
01-12-10,8984.995117,9173.742922,8972.945453,9173.742922,0
01-13-10,8925.996094,8937.745957,8836.597716,8912.49625,0
01-14-10,8910.696289,9039.894983,8882.996416,8951.896006,0
01-15-10,8910.996094,8982.445459,8874.696711,8961.546288,0
01-18-10,9093.144531,9120.243826,8863.097395,8887.047312,0
01-19-10,9135.793945,9202.392779,9093.844239,9125.794062,0
01-20-10,9126.243164,9196.293128,9103.993424,9177.642955,0
01-21-10,8919.196289,9097.994019,8888.94664,9092.894468,0
01-22-10,8772.548828,8891.696863,8659.800133,8891.696863,0
01-25-10,8696.498047,8751.097995,8669.448558,8724.697913,0
01-27-10,8329.703125,8602.550544,8294.503338,8564.500204,0
01-28-10,8423.751953,8496.001116,8354.153151,8396.402661,0
01-29-10,8651.449219,8686.899002,8306.00304,8346.452765,0
02-01-10,8649.149414,8712.148681,8495.151205,8597.350212,0
02-02-10,8468.051758,8718.54884,8453.801924,8666.59925,0
02-03-10,8631.749023,8662.849247,8489.700874,8489.700874,0
02-04-10,8471.000977,8623.149596,8455.401549,8591.699767,0
02-05-10,8223.154297,8319.053571,8150.355339,8319.053571,0
02-08-10,8342.103516,8412.202313,8160.855616,8279.654044,0
02-09-10,8392.352539,8420.302409,8271.453555,8321.903164,0
02-10-10,8289.90332,8444.101717,8259.304068,8410.451719,0
02-11-10,8381.302734,8451.851717,8327.603165,8327.603165,0
02-15-10,8312.603516,8441.501431,8281.953481,8441.501431,0
02-16-10,8397.702148,8432.052335,8289.053998,8324.203003,0
02-17-10,8551.400391,8569.150184,8446.451418,8446.451418,0
02-18-10,8573.800781,8601.900064,8523.250587,8574.650381,0
02-19-10,8487.000977,8530.150866,8407.852482,8490.151331,0
02-22-10,8493.250977,8598.150149,8473.051992,8565.200336,0
02-23-10,8512.851563,8577.801005,8453.302448,8491.302007,0
02-24-10,8504.451172,8527.250712,8458.352097,8463.352039,0
02-25-10,8537.700195,8554.850386,8469.551576,8520.500201,0
02-26-10,8722.648438,8851.24655,8526.950521,8535.350814,0
03-02-10,8921.996094,8945.495821,8826.79798,8826.79798,0
03-03-10,9039.344727,9046.794835,8922.04629,8922.04629,0
03-04-10,9013.695313,9068.845064,8965.146071,9055.845214,0
03-05-10,9038.344727,9095.193673,8967.69516,9012.744439,0
03-08-10,9145.84375,9178.44298,9093.344361,9102.044455,0
03-09-10,9138.09375,9176.893103,9073.394308,9118.593977,0
03-10-10,9119.143555,9155.893126,9073.894083,9136.143356,0
03-11-10,9186.743164,9219.093375,9087.244317,9114.544782,0
03-12-10,9172.793945,9229.892892,9145.493481,9201.043617,0
03-15-10,9085.394531,9146.094022,9056.045263,9118.094347,0
03-16-10,9102.844727,9121.844506,8986.645878,9070.894901,0
03-17-10,9188.293945,9220.942981,9141.894092,9162.344051,0
03-18-10,9252.192383,9287.491778,9171.943315,9213.992631,0
03-19-10,9270.692383,9293.991918,9231.793419,9293.592508,0
03-22-10,9186.84375,9240.74254,9066.595143,9171.093932,0
03-23-10,9222.792969,9257.792561,9166.293627,9192.343128,0
03-25-10,9318.141602,9341.891325,9165.393378,9191.293468,0
03-26-10,9456.089844,9473.089645,9321.39122,9331.541493,0
03-29-10,9517.489258,9578.388942,9451.990017,9451.990017,0
03-30-10,9470.189453,9587.538672,9461.139754,9558.838811,0
03-31-10,9459.489258,9537.338936,9440.239482,9509.738672,0
04-01-10,9507.639648,9523.289857,9445.440175,9464.040545,0
04-05-10,9698.487305,9708.787967,9581.889045,9593.438716,0
04-06-10,9728.086914,9772.286595,9673.986958,9732.486277,0
04-07-10,9680.9375,9793.08659,9639.737783,9778.386565,0
04-08-10,9519.889648,9676.588027,9492.189774,9676.588027,0
