Date,Close,High,Low,Open,Volume,SMA,EMA,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ATR,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Close_Lag_10
2025-05-13,54940.85156,55499.64844,54888.5,55233.5,190000,54882.03208714288,54495.300165559085,58.97884255075122,1061.2845781530268,1410.4484210136475,56800.6778020758,54504.49746100001,52208.31711992423,906.409989657782,55382.85156,53595.25,54365.64844,54271.39844,55432.80078
2025-05-14,54801.30078,55208.60156,54491.0,55008.55078,145200,54841.40708714288,54536.10024748454,57.888641994761144,999.3032635224008,1328.2193895153982,56335.401126971374,54694.44492200002,53053.48871702866,892.9236732536549,54940.85156,55382.85156,53595.25,54610.89844,55391.25
2025-05-15,55355.60156,55490.55078,54442.30078,54853.69922,138400,54852.4215957143,54645.36708915327,60.97437223415868,983.572059142025,1259.2899234407237,56115.962490428996,54843.25000000002,53570.53750957105,904.0184108783939,54801.30078,54940.85156,55382.85156,54365.64844,55087.14844
2025-05-16,55354.89844,55418.89844,55170.25,55276.0,136000,54901.76785714288,54739.97126926616,60.96826940486001,959.9821537255848,1199.428369497696,55968.337665874285,54955.107422000016,53941.877178125746,857.2062701013656,55355.60156,54801.30078,54940.85156,53595.25,55115.35156
2025-05-19,55420.69922,55695.55078,55296.55078,55326.05078,138100,54900.90346000001,54830.734996030675,61.35805797770465,935.8091316047139,1146.7045219190995,55995.90361717743,55011.63242200002,54027.361226822606,824.4772508084109,55354.89844,55355.60156,54801.30078,55382.85156,54919.5
2025-05-20,54877.35156,55568.35156,54829.44922,55445.30078,143400,54864.196428571435,54836.95053789325,56.35352214434779,862.8616897538377,1089.935955486047,55966.7058547401,54990.27500000002,54013.84414525994,818.3647571792387,55420.69922,55354.89844,55355.60156,54940.85156,54271.39844
2025-05-21,55075.10156,55336.85156,54690.80078,55060.19922,119500,54863.33593714286,54868.704007507484,57.70559016698412,811.6508827224825,1034.278940933334,55891.87089083996,54961.67011700002,54031.46934316009,806.0566159521505,54877.35156,55420.69922,55354.89844,54801.30078,54610.89844
2025-05-22,54941.30078,54996.10156,54576.60156,54875.89844,148200,54850.90373857144,54878.383577173154,56.43179373025815,751.6053063563522,977.7442140179377,55851.365561647865,54940.23261700002,54029.09967235218,784.0882862412826,55075.10156,54877.35156,55420.69922,55355.60156,54365.64844
2025-05-23,55398.25,55441.30078,54854.5,54959.30078,88900,54885.10016714287,54947.699100216734,59.703284994939,732.4475383617246,928.6848788866951,55876.40677961982,54950.07519500002,54023.74361038022,769.9963215097623,54941.30078,55075.10156,54877.35156,55354.89844,53595.25
2025-05-26,55572.0,55875.75,55307.5,55534.89844,90800,54978.00027857144,55030.939220187836,60.90536884171179,722.9513094387366,887.5381649971034,55949.853390415585,54995.47265600001,54041.09192158444,755.5858699733508,55398.25,54941.30078,55075.10156,55420.69922,55382.85156
2025-05-27,55352.80078,55831.35156,55037.85156,55458.94922,145400,55030.993302857154,55073.85409482946,58.53309153299053,689.7865050182954,847.9878330013419,55939.135088649964,54991.47265600001,54043.81022335006,758.2940221181115,55572.0,55398.25,54941.30078,54877.35156,54940.85156
2025-05-28,55417.0,55521.80078,55235.55078,55328.60156,128300,55106.08984285715,55119.60688218553,59.03634183138058,661.0631743183112,810.6029012647357,55942.65897944199,54992.76015600001,54042.86133255803,724.5765919668178,55352.80078,55572.0,55398.25,55075.10156,54801.30078
2025-05-29,55546.05078,55782.75,55096.44922,55571.39844,185700,55245.4327557143,55176.46606856079,60.08500032478996,641.3203059428997,776.7463822003685,55995.32057223086,55015.705273000014,54036.089973769165,721.8426053977591,55417.0,55352.80078,55572.0,54941.30078,55355.60156
2025-05-30,55749.69922,55813.30078,55356.60156,55615.55078,281100,55271.63616000001,55252.89715541935,61.749110298778184,634.7892127605373,748.3549483124023,56077.658411201744,55047.42265600001,54017.186900798275,702.9037921550618,55546.05078,55417.0,55352.80078,55398.25,55354.89844
2025-06-02,55903.39844,55966.30078,55400.55078,55598.25,211300,55340.38950857144,55339.6306600301,63.00279986552032,634.6991007485922,725.6237787996403,56189.764968460186,55096.617578000005,54003.470187539824,693.1070927154144,55749.69922,55546.05078,55417.0,55572.0,55420.69922
2025-06-03,55599.94922,56161.39844,55455.80078,56104.80078,212800,55397.435825714296,55374.33980135942,58.8983880875518,603.1886865996494,701.136760359642,56207.93361284264,55163.045117,54118.156621157366,693.9992760928848,55903.39844,55749.69922,55546.05078,55352.80078,54877.35156
2025-06-04,55676.85156,55791.0,55408.35156,55650.35156,151500,55420.38225428572,55414.6747025115,59.61640433670685,577.7617546413603,676.4617592159857,56251.840542090446,55216.34277300001,54180.84500390958,671.7599306576785,55599.94922,55903.39844,55749.69922,55417.0,55075.10156
