Date,Close,High,Low,Open,Volume
01-03-22,36421.47656,36491.67887,35526.19006,35584.78704,219000
01-04-22,36839.71875,36887.37054,36373.97418,36550.82368,190500
01-05-22,37695.46094,37861.95901,36755.92497,36943.12201,237400
01-06-22,37489.8125,37752.05944,37058.01676,37242.11617,199000
01-07-22,37739.16406,38134.40948,37427.3669,37666.61412,183300
01-10-22,38347.45313,38399.90564,37928.91111,37930.11032,206500
01-11-22,38441.75391,38504.15553,38031.30944,38369.55552,159500
01-12-22,38727.10156,38850.99856,38604.15377,38719.15244,156100
01-13-22,38469.50391,38717.1026,38375.70421,38717.1026,159200
01-14-22,38369.95313,38447.60457,38007.3089,38301.90704,148600
01-17-22,38215.70313,38617.05001,38137.8056,38212.10551,140300
01-18-22,38209.85547,38855.09795,38094.95446,38336.95164,168800
01-19-22,38040.91016,38330.05524,37768.81175,38145.30738,165300
01-20-22,37850.41016,38167.50411,37591.41318,38105.65718,149600
01-21-22,37573.86328,37740.56056,37223.81658,37521.91467,157800
01-24-22,36947.12109,37694.26084,36374.92853,37601.51192,231000
01-25-22,37706.3125,37788.36233,36415.17904,36597.62615,267500
01-27-22,37981.66016,38147.20511,37011.81986,37057.76855,346300
01-28-22,37688.96094,38421.25322,37581.06375,38246.15759,294300
01-31-22,37974.91016,38216.80578,37647.41396,38091.35802,217800
02-01-22,38505.05078,38802.24653,37690.16185,38460.00053,234100
02-02-22,39330.04297,39386.14388,38752.19812,38841.09943,252600
02-03-22,39009.54688,39424.39362,38860.69704,39255.24324,193800
02-04-22,38788.90234,39278.14668,38562.15497,39127.54686,163100
02-07-22,37995.00781,38837.09959,37802.26005,38591.60244,241900
02-08-22,38028.00781,38221.65791,37318.61761,38175.65844,200200
02-09-22,38609.80078,38647.69878,38191.55565,38283.15614,124900
02-10-22,39010.49609,39196.74393,38519.55258,38800.99853,147800
02-11-22,38516.80078,38789.7976,38395.95063,38567.19863,155000
02-14-22,36908.12109,37796.11076,36827.62203,37663.56152,213800
02-15-22,38169.65625,38231.15553,36651.42396,36989.36924,193000
02-16-22,37953.35938,38461.25191,37762.3616,38296.05461,170100
02-17-22,37531.21094,38124.05559,37425.1653,38041.65811,136300
02-18-22,37598.71094,37817.11074,37304.01515,37344.01468,113500
02-21-22,37685.16406,38053.95666,37156.36942,37399.56582,143300
