Price,Close,High,Low,Open,Volume
,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
03-05-25,48489.94922,48657.64844,48190.25,48241.30078,127800
03-06-25,48627.69922,48839.10156,48299.39844,48760,137400
03-07-25,48497.5,48709.05078,48359.35156,48463.80078,106000
03-10-25,48216.80078,48599.14844,48124.64844,48312,123800
03-11-25,47853.94922,48029.05078,47702.89844,47874.80078,222400
03-12-25,48056.64844,48222.14844,47844.94922,47894.39844,243300
03-13-25,48060.39844,48352.44922,48006.10156,48219.14844,145900
03-17-25,48354.14844,48481.35156,48196.10156,48219.55078,131300
03-18-25,49314.5,49400.30078,48629.44922,48792.89844,146600
03-19-25,49702.60156,49807.55078,49324.80078,49375.39844,137600
03-20-25,50062.85156,50155.30078,49771.64844,49947.60156,115700
03-21-25,50593.55078,50672.14844,49891.94922,49927.10156,225500
03-24-25,51704.94922,51801.14844,50795.89844,50982.69922,180400
03-25-25,51607.94922,52063.94922,51429.60156,51874.19922,185200
03-26-25,51209,51875.80078,51069.14844,51640.05078,152900
03-27-25,51575.85156,51714.35156,51050.85156,51084.69922,415800
03-28-25,51564.85156,51839.10156,51335.35156,51608.39844,171200
04-01-25,50827.5,51683.85156,50742,51178.14844,176300
04-02-25,51348.05078,51404.19922,50908.35156,50966.89844,149900
04-03-25,51597.35156,51661.60156,50906.64844,50910,291200
04-04-25,51502.69922,51893.60156,51360.39844,51711.60156,189600
04-07-25,49860.10156,50426.25,49156.94922,49336.10156,236800
04-08-25,50511,50793.69922,50030.80078,50388.55078,162300
04-09-25,50240.14844,50496.89844,49910.85156,50487.10156,141800
04-11-25,51002.35156,51244.69922,50634.10156,50634.10156,140000
04-15-25,52379.5,52486.35156,51863.30078,52299,203800
04-16-25,53117.75,53164.44922,52471.35156,52690.89844,200500
04-17-25,54290.19922,54407.19922,53084.89844,53153.75,294900
04-21-25,55304.5,55461.64844,54674.94922,54891.25,300
04-22-25,55647.19922,55961.19922,55243.55078,55414.30078,276900
04-23-25,55370.05078,56098.69922,55162.5,56097.10156,245500
04-24-25,55201.39844,55550.44922,55088.39844,55103.89844,233200
04-25-25,54664.05078,55350.55078,54176.44922,55233.55078,210800
04-28-25,55432.80078,55577.39844,54582.35156,54610.30078,178600
04-29-25,55391.25,55957.75,55262.39844,55524.35156,193900
04-30-25,55087.14844,55478.25,54723.69922,55382.39844,193500
05-02-25,55115.35156,55691.94922,54994.39844,55100.94922,154200
05-05-25,54919.5,55345.5,54786.5,55065.80078,139400
05-06-25,54271.39844,55036.94922,54172.94922,54918.25,198700
05-07-25,54610.89844,54684.30078,53919.89844,54013.39844,268900
05-08-25,54365.64844,54937.25,54108,54801.75,302200
05-09-25,53595.25,54054.80078,53483.05078,53595.94922,179300
05-12-25,55382.85156,55466.30078,54558.05078,54658.75,199600
05-13-25,54940.85156,55499.64844,54888.5,55233.5,190000
05-14-25,54801.30078,55208.60156,54491,55008.55078,145200
05-15-25,55355.60156,55490.55078,54442.30078,54853.69922,138400
05-16-25,55354.89844,55418.89844,55170.25,55276,136000
05-19-25,55420.69922,55695.55078,55296.55078,55326.05078,138100
05-20-25,54877.35156,55568.35156,54829.44922,55445.30078,143400
05-21-25,55075.10156,55336.85156,54690.80078,55060.19922,119500
05-22-25,54941.30078,54996.10156,54576.60156,54875.89844,148200
05-23-25,55398.25,55441.30078,54854.5,54959.30078,88900
05-26-25,55572,55875.75,55307.5,55534.89844,90800
